Year,Month,Date,Continent,Country of residence,Code,Consulate,Spaniards
2002,January,01-01-02,Europe,Albania,ALB,Tirana,0
2002,January,01-01-02,Europe,Albania,ALB,Rome,2
2002,January,01-01-02,Europe,Germany,DEU,Berlin,2212
2002,January,01-01-02,Europe,Germany,DEU,Dusseldorf,29607
2002,January,01-01-02,Europe,Germany,DEU,Frankfurt,19361
2002,January,01-01-02,Europe,Germany,DEU,Hamburg,8126
2002,January,01-01-02,Europe,Germany,DEU,Hannover,6369
2002,January,01-01-02,Europe,Germany,DEU,Munich,7674
2002,January,01-01-02,Europe,Germany,DEU,Stuttgart,14463
2002,January,01-01-02,Europe,Andorra,AND,Andorra,0
2002,January,01-01-02,Europe,Armenia,ARM,Moscow,21018
2002,January,01-01-02,Europe,Austria,AUT,Vienna,914
2002,January,01-01-02,Europe,Belarus,BLR,Moscow,6
2002,January,01-01-02,Europe,Belgium,BEL,Antwerp,0
2002,January,01-01-02,Europe,Belgium,BEL,Brussels,35991
2002,January,01-01-02,Europe,Belgium,BEL,Liege,0
2002,January,01-01-02,Europe,Bosnia And Herzegovina,BIH,Sarajevo,15
2002,January,01-01-02,Europe,Bulgaria,BGR,Sofia,47
2002,January,01-01-02,Europe,Cyprus,CYP,Nicosia,0
2002,January,01-01-02,Europe,Cyprus,CYP,Beirut,52
2002,January,01-01-02,Europe,Croatia,HRV,Zagreb,56
2002,January,01-01-02,Europe,Denmark,DNK,Copenhagen,1347
2002,January,01-01-02,Europe,Slovenia,SVN,Ljubljana,9
2002,January,01-01-02,Europe,Estonia,EST,Helsinki,7
2002,January,01-01-02,Europe,Estonia,EST,Tallinn,0
2002,January,01-01-02,Europe,Finland,FIN,Helsinki,443
2002,January,01-01-02,Europe,France,FRA,Bayona,4499
2002,January,01-01-02,Europe,France,FRA,Bordeaux,7182
2002,January,01-01-02,Europe,France,FRA,Strasbourg,10384
2002,January,01-01-02,Europe,France,FRA,Lyon,26441
2002,January,01-01-02,Europe,France,FRA,Marseilles,15747
2002,January,01-01-02,Europe,France,FRA,Montpellier,12378
2002,January,01-01-02,Europe,France,FRA,Paris,68489
2002,January,01-01-02,Europe,France,FRA,Pau,5876
2002,January,01-01-02,Europe,France,FRA,Perpignan,9438
2002,January,01-01-02,Europe,France,FRA,Toulouse,8047
2002,January,01-01-02,Europe,France,FRA,Lille,0
2002,January,01-01-02,Europe,France,FRA,Nimes,0
2002,January,01-01-02,Europe,France,FRA,Hendaye,0
2002,January,01-01-02,Europe,Georgia,GEO,Moscow,7
2002,January,01-01-02,Europe,Georgia,GEO,Sofia,0
2002,January,01-01-02,Europe,Georgia,GEO,Ankara,0
2002,January,01-01-02,Europe,Greece,GRC,Athens,733
2002,January,01-01-02,Europe,Hungary,HUN,Budapest,140
2002,January,01-01-02,Europe,Ireland,IRL,Dublin,3570
2002,January,01-01-02,Europe,Iceland,ISL,Oslo,43
2002,January,01-01-02,Europe,Italy,ITA,Genoa,1580
2002,January,01-01-02,Europe,Italy,ITA,Milan,3298
2002,January,01-01-02,Europe,Italy,ITA,Naples,1252
2002,January,01-01-02,Europe,Italy,ITA,Rome,4932
2002,January,01-01-02,Europe,Latvia,LVA,Stockholm,0
2002,January,01-01-02,Europe,Latvia,LVA,Moscow,2
2002,January,01-01-02,Europe,Latvia,LVA,Riga,0
2002,January,01-01-02,Europe,Liechtenstein,LIE,Zurich,247
2002,January,01-01-02,Europe,Lithuania,LTU,Copenhagen,2
2002,January,01-01-02,Europe,Lithuania,LTU,Vilnius,0
2002,January,01-01-02,Europe,Luxembourg,LUX,Luxembourg,2166
2002,January,01-01-02,Europe,Macedonia (Ex..Rep.Yug.),MKD,Sofia,1
2002,January,01-01-02,Europe,Macedonia,MKD,Skopje,0
2002,January,01-01-02,Europe,Malta,MA,Rome,5
2002,January,01-01-02,Europe,Malta,MA,Valetta,0
2002,January,01-01-02,Europe,Moldova,MDA,Bucharest,1
2002,January,01-01-02,Europe,Monaco,MO,Marseilles,22
2002,January,01-01-02,Europe,Montenegro,MNE,Belgrade,0
2002,January,01-01-02,Europe,Norway,NOR,Oslo,1151
2002,January,01-01-02,Europe,Netherlands,NLD,Amsterdam,0
2002,January,01-01-02,Europe,Netherlands,NLD,Caracas,13650
2002,January,01-01-02,Europe,Poland,POL,Warsaw,330
2002,January,01-01-02,Europe,Portugal,PRT,Elvas,0
2002,January,01-01-02,Europe,Portugal,PRT,Lisbon,5775
2002,January,01-01-02,Europe,Portugal,PRT,Port,1377
2002,January,01-01-02,Europe,Portugal,PRT,Valenca Do Minho,200
2002,January,01-01-02,Europe,Portugal,PRT,From S. Antonio Vilareal,429
